ep:0, global_step:100: Loss: 1.0364	 KL-Loss: 0.3629	 CLS_loss: 1.1112
ep:0, global_step:100: Loss: 1.0100	 KL-Loss: 0.2691	 CLS_loss: 1.0923
ep:0, global_step:200: Loss: 1.0265	 KL-Loss: 0.3708	 CLS_loss: 1.0993
ep:0, global_step:300: Loss: 1.0204	 KL-Loss: 0.0013	 CLS_loss: 1.1336
ep:0, global_step:400: Loss: 1.0143	 KL-Loss: 0.3742	 CLS_loss: 1.0854
ep:0, global_step:500: Loss: 1.0109	 KL-Loss: 0.2562	 CLS_loss: 1.0947
ep:0, global_step:600: Loss: 1.0227	 KL-Loss: 0.4141	 CLS_loss: 1.0903
ep:0, global_step:700: Loss: 1.0063	 KL-Loss: 0.3697	 CLS_loss: 1.0771
ep:0, global_step:800: Loss: 1.0108	 KL-Loss: 0.0000	 CLS_loss: 1.1231
ep:0, global_step:900: Loss: 1.0053	 KL-Loss: 0.3418	 CLS_loss: 1.0791
ep:0, global_step:1000: Loss: 1.0384	 KL-Loss: 0.4556	 CLS_loss: 1.1031
ep:0, global_step:1100: Loss: 1.0690	 KL-Loss: 0.5158	 CLS_loss: 1.1305
ep:0, global_step:1200: Loss: 1.0538	 KL-Loss: 0.3821	 CLS_loss: 1.1284
ep:0, global_step:1300: Loss: 0.9937	 KL-Loss: 0.3895	 CLS_loss: 1.0608
ep:0, global_step:1400: Loss: 1.0424	 KL-Loss: 0.3940	 CLS_loss: 1.1145
ep:0, global_step:1500: Loss: 0.9715	 KL-Loss: 0.0048	 CLS_loss: 1.0790
ep:0, global_step:1600: Loss: 0.9662	 KL-Loss: 0.0002	 CLS_loss: 1.0736
ep:1, global_step:1700: Loss: 1.0631	 KL-Loss: 0.5610	 CLS_loss: 1.1189
ep:1, global_step:1800: Loss: 1.0443	 KL-Loss: 0.3698	 CLS_loss: 1.1193
ep:1, global_step:1900: Loss: 1.0100	 KL-Loss: 0.3516	 CLS_loss: 1.0831
ep:1, global_step:2000: Loss: 0.9617	 KL-Loss: 0.2603	 CLS_loss: 1.0397
ep:1, global_step:2100: Loss: 1.0760	 KL-Loss: 0.3798	 CLS_loss: 1.1533
ep:1, global_step:2200: Loss: 1.0292	 KL-Loss: 0.0012	 CLS_loss: 1.1435
ep:1, global_step:2300: Loss: 0.9851	 KL-Loss: 0.3436	 CLS_loss: 1.0564
ep:1, global_step:2400: Loss: 0.9774	 KL-Loss: 0.2716	 CLS_loss: 1.0558
ep:1, global_step:2500: Loss: 0.9810	 KL-Loss: 0.0027	 CLS_loss: 1.0897
ep:1, global_step:2600: Loss: 0.9904	 KL-Loss: 0.3405	 CLS_loss: 1.0627
ep:1, global_step:2700: Loss: 1.0850	 KL-Loss: 0.4030	 CLS_loss: 1.1608
ep:1, global_step:2800: Loss: 0.9821	 KL-Loss: 0.0011	 CLS_loss: 1.0911
ep:1, global_step:2900: Loss: 1.0814	 KL-Loss: 0.3725	 CLS_loss: 1.1602
ep:1, global_step:3000: Loss: 1.0741	 KL-Loss: 0.3801	 CLS_loss: 1.1512
ep:1, global_step:3100: Loss: 1.0616	 KL-Loss: 0.3067	 CLS_loss: 1.1455
ep:1, global_step:3200: Loss: 0.9945	 KL-Loss: 0.4153	 CLS_loss: 1.0588
ep:2, global_step:3300: Loss: 1.0585	 KL-Loss: 0.3553	 CLS_loss: 1.1366
ep:2, global_step:3400: Loss: 0.9822	 KL-Loss: 0.0000	 CLS_loss: 1.0914
ep:2, global_step:3500: Loss: 1.0058	 KL-Loss: 0.3796	 CLS_loss: 1.0753
ep:2, global_step:3600: Loss: 1.0029	 KL-Loss: 0.3623	 CLS_loss: 1.0740
ep:2, global_step:3700: Loss: 1.0608	 KL-Loss: 0.4390	 CLS_loss: 1.1299
ep:2, global_step:3800: Loss: 1.0508	 KL-Loss: 0.3418	 CLS_loss: 1.1296
ep:2, global_step:3900: Loss: 0.9971	 KL-Loss: 0.3417	 CLS_loss: 1.0700
ep:2, global_step:4000: Loss: 1.0565	 KL-Loss: 0.3458	 CLS_loss: 1.1355
ep:2, global_step:4100: Loss: 0.9837	 KL-Loss: 0.0000	 CLS_loss: 1.0930
ep:2, global_step:4200: Loss: 0.9831	 KL-Loss: 0.0048	 CLS_loss: 1.0918
ep:2, global_step:4300: Loss: 1.0491	 KL-Loss: 0.3660	 CLS_loss: 1.1250
ep:2, global_step:4400: Loss: 1.0621	 KL-Loss: 0.3825	 CLS_loss: 1.1376
ep:2, global_step:4500: Loss: 1.0451	 KL-Loss: 0.3208	 CLS_loss: 1.1256
ep:2, global_step:4600: Loss: 0.9964	 KL-Loss: 0.2907	 CLS_loss: 1.0748
ep:2, global_step:4700: Loss: 1.0690	 KL-Loss: 0.3843	 CLS_loss: 1.1451
ep:2, global_step:4800: Loss: 0.9842	 KL-Loss: 0.0011	 CLS_loss: 1.0935
ep:3, global_step:4900: Loss: 0.9853	 KL-Loss: 0.0052	 CLS_loss: 1.0942
ep:3, global_step:5000: Loss: 0.9794	 KL-Loss: 0.0012	 CLS_loss: 1.0881
ep:3, global_step:5100: Loss: 1.0939	 KL-Loss: 0.3653	 CLS_loss: 1.1748
ep:3, global_step:5200: Loss: 0.9817	 KL-Loss: 0.3105	 CLS_loss: 1.0563
ep:3, global_step:5300: Loss: 0.9727	 KL-Loss: 0.3818	 CLS_loss: 1.0384
ep:3, global_step:5400: Loss: 0.9869	 KL-Loss: 0.0001	 CLS_loss: 1.0965
ep:3, global_step:5500: Loss: 0.9864	 KL-Loss: 0.0002	 CLS_loss: 1.0960
ep:3, global_step:5600: Loss: 0.9818	 KL-Loss: 0.3097	 CLS_loss: 1.0565
ep:3, global_step:5700: Loss: 0.9875	 KL-Loss: 0.0004	 CLS_loss: 1.0972
ep:3, global_step:5800: Loss: 0.9837	 KL-Loss: 0.3270	 CLS_loss: 1.0566
ep:3, global_step:5900: Loss: 0.9843	 KL-Loss: 0.0001	 CLS_loss: 1.0937
ep:3, global_step:6000: Loss: 1.0745	 KL-Loss: 0.3949	 CLS_loss: 1.1500
ep:3, global_step:6100: Loss: 0.9911	 KL-Loss: 0.0007	 CLS_loss: 1.1011
ep:3, global_step:6200: Loss: 1.0552	 KL-Loss: 0.3382	 CLS_loss: 1.1349
ep:3, global_step:6300: Loss: 0.9880	 KL-Loss: 0.0007	 CLS_loss: 1.0976
ep:3, global_step:6400: Loss: 0.9925	 KL-Loss: 0.0001	 CLS_loss: 1.1027
ep:4, global_step:6500: Loss: 0.9810	 KL-Loss: 0.0004	 CLS_loss: 1.0899
ep:4, global_step:6600: Loss: 1.0489	 KL-Loss: 0.3235	 CLS_loss: 1.1295
ep:4, global_step:6700: Loss: 0.9901	 KL-Loss: -0.0000	 CLS_loss: 1.1001
ep:4, global_step:6800: Loss: 0.9884	 KL-Loss: 0.0000	 CLS_loss: 1.0982
ep:4, global_step:6900: Loss: 0.9676	 KL-Loss: 0.0008	 CLS_loss: 1.0750
ep:4, global_step:7000: Loss: 1.0545	 KL-Loss: 0.3630	 CLS_loss: 1.1313
ep:4, global_step:7100: Loss: 0.9943	 KL-Loss: 0.0008	 CLS_loss: 1.1047
ep:4, global_step:7200: Loss: 0.9883	 KL-Loss: 0.0000	 CLS_loss: 1.0981
ep:4, global_step:7300: Loss: 1.0563	 KL-Loss: 0.3468	 CLS_loss: 1.1351
ep:4, global_step:7400: Loss: 0.9875	 KL-Loss: 0.3335	 CLS_loss: 1.0601
ep:4, global_step:7500: Loss: 1.0623	 KL-Loss: 0.3694	 CLS_loss: 1.1393
ep:4, global_step:7600: Loss: 1.0632	 KL-Loss: 0.3782	 CLS_loss: 1.1393
ep:4, global_step:7700: Loss: 1.0636	 KL-Loss: 0.3698	 CLS_loss: 1.1406
ep:4, global_step:7800: Loss: 0.9899	 KL-Loss: 0.0004	 CLS_loss: 1.0998
ep:4, global_step:7900: Loss: 1.0561	 KL-Loss: 0.3675	 CLS_loss: 1.1326
ep:4, global_step:8000: Loss: 0.9857	 KL-Loss: 0.3281	 CLS_loss: 1.0588
